Gene	S1	S2	S3	S4	S5	S6	S7	S8
5S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1BG	0.551917	0.670085	0.7473455	1.1827615	0.9197645	1.1563525000000001	0.736352	0.978622
A1CF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2M	0.039812885	0.10836835	0.05979115	0.18023050000000002	0.33420300000000003	0.0	0.0	0.0778874
A2ML1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2MP1	0.332181	0.075912	0.2395875	0.083755	0.069594	0.0817385	0.04968995	0.0397081
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GALT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	0.088900000197144	0.101903	0.2517075	0.308349	0.0	0.3159125	0.0569205	0.1264285
AACS	0.104928	0.150349	0.163657	0.17957	0.0741145	0.0	0.157255	0.160564
AACSP1	0.01400535	0.00539355	0.01574785	0.03562385	0.04597845	0.0	0.057078	0.0061363
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0284747	0.0375496	0.0101587	0.0381739	0.028201	0.0	0.0671847	0.0354964
AADACP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	1.9534235	0.9139675	2.079635	4.586805	2.05857	3.2611299999999996	1.3520400000000001	2.302995
AAK1	1.08737	1.2654	1.98287	3.37652	1.99047	1.85954	1.47284	1.85133
AAMDC	0.6425365000000001	0.5614905	0.779946	0.6330905	0.4714515	0.951689	0.522231	0.8376165
AAMP	1.47681	1.6085	0.642222	1.803	0.830702	1.61537	1.62908	2.17356
AANAT	0.0	0.0	0.0	0.298961	0.0	0.0	0.0	1.16802e-05
AAR2	2.1293765	2.882159	2.336299	2.549515	2.311541	2.920675	3.6364075	4.95453
AARD	0.36412	0.651426	0.57102	1.05052	0.191187	0.50504	0.270782	0.00497898
AARS1	0.0	0.0	0.0	0.196125	0.0	0.219552	0.0	0.350498
AARS1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS2	0.138383	0.560316	0.142696	0.262978	0.0	0.243777	0.3735	0.126842
AARSD1	0.714582	0.7309475000000001	0.2844135	0.506713	0.2699325	0.12860749999999999	0.27065799999999995	0.372607
AARSD1P1	1.00245	0.727364	1.10109	1.39591	1.0601	0.620775	1.0072	0.899667
AASDH	0.382079	0.274748	0.597678	0.593768	0.346032	0.333654	0.412578	0.288049
AASDHPPT	2.837585	5.66432	5.397819999999999	2.3989655	4.085405	3.0654175	3.2736349999999996	3.714385
AASS	0.1183314	0.0	0.0	0.0	0.0	0.040627975905	0.0	0.0
AATF	0.070346	0.0	0.1366375	0.071524	0.1072855	0.03748055	0.0	0.0
AATK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA11P	0.060304	0.602975	0.104359	0.34959300000000004	0.2656485	0.9047645	0.364802	0.569195
ABCA12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA17P	0.0112896	0.0	0.0226049	0.0226694	0.0	0.0197541	0.0	0.0
ABCA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA3	0.259989	0.0	0.0977993	0.0	0.0	0.113875	0.0643592	0.124726
ABCA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA5	0.388215	0.466358	0.375488	0.881665	0.591176	0.424923	0.57192	0.542217
ABCA6	0.0	0.01954135	0.0	0.0	0.0	0.0079454	0.0080589	0.0
ABCA7	0.190847	0.0715555	0.0	0.0	0.1467275	0.0	0.272166	0.0
ABCA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA9	0.0125508	0.0392803	0.0417509	0.0957584	0.0	0.0	0.0	0.0330743
ABCB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10	0.141368	0.132032	0.0	0.40942	0.5509717	0.687285	0.53661	1.5095580000000002
ABCB10P1	0.0	0.0	0.0231404	0.0	0.0	0.0	0.0	0.0
ABCB10P3	0.000483075	0.0	0.0116644	0.0002041345	0.0	0.00021872301900000002	0.0003937165	0.0
ABCB10P4	3.81083e-10	0.0	1.52813e-05	0.0	0.0	0.0	0.0	0.0
ABCB11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB7	0.144949	0.0	0.0	0.0	0.149514	0.0	0.0	0.417022
ABCB8	0.193702	0.249332	0.269114	0.285776	0.150436	0.12013	0.293503	0.467692
ABCB9	0.0	0.0	0.0	0.0	0.011450677382	0.008215455	0.0	0.053676
ABCC1	0.0	0.164533	0.0571935	0.936759	0.287248	0.100674	0.515505	0.205868
ABCC10	0.28195	0.210922	0.332798	0.198745	0.541489	0.417247	0.624531	0.682358
ABCC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
